Date,SVB share price (US $)
19/02/2019,248.850006
20/02/2019,250.809998
21/02/2019,245.649994
22/02/2019,245.820007
25/02/2019,247.779999
26/02/2019,245.089996
27/02/2019,250.509995
28/02/2019,247.160004
01/03/2019,249.669998
04/03/2019,249.089996
05/03/2019,248.009995
06/03/2019,242.75
07/03/2019,239.199997
08/03/2019,239.690002
11/03/2019,242.190002
12/03/2019,240.940002
13/03/2019,244.009995
14/03/2019,245.479996
15/03/2019,246.210007
18/03/2019,250.270004
19/03/2019,245.529999
20/03/2019,236.710007
21/03/2019,228.309998
22/03/2019,212.190002
25/03/2019,214.669998
26/03/2019,219.889999
27/03/2019,218.300003
28/03/2019,222.589996
29/03/2019,222.360001
01/04/2019,230.740005
02/04/2019,232.360001
03/04/2019,233.779999
04/04/2019,236.020004
05/04/2019,237.460007
08/04/2019,238.919998
09/04/2019,234.539993
10/04/2019,237.270004
11/04/2019,238.429993
12/04/2019,243.740005
15/04/2019,240.110001
16/04/2019,246.199997
17/04/2019,245.720001
18/04/2019,243.139999
22/04/2019,242.669998
23/04/2019,249.75
24/04/2019,248.880005
25/04/2019,247.360001
26/04/2019,247.630005
29/04/2019,252.690002
30/04/2019,251.720001
01/05/2019,250.429993
02/05/2019,255.419998
03/05/2019,258.609985
06/05/2019,257.660004
07/05/2019,251.350006
08/05/2019,250.570007
09/05/2019,250.149994
10/05/2019,247.889999
13/05/2019,232.080002
14/05/2019,236.339996
15/05/2019,229.479996
16/05/2019,232.300003
17/05/2019,229.770004
20/05/2019,232.850006
21/05/2019,236.850006
22/05/2019,231.169998
23/05/2019,221
24/05/2019,224.600006
28/05/2019,219.649994
29/05/2019,217.889999
30/05/2019,211.639999
31/05/2019,201.399994
03/06/2019,202.779999
04/06/2019,214.669998
05/06/2019,212.270004
06/06/2019,214.5
07/06/2019,212.940002
10/06/2019,214.520004
11/06/2019,215.520004
12/06/2019,213.789993
13/06/2019,217.539993
14/06/2019,218.179993
17/06/2019,217.509995
18/06/2019,220.800003
19/06/2019,213.740005
20/06/2019,214.339996
21/06/2019,216.190002
24/06/2019,214.130005
25/06/2019,214.5
26/06/2019,216.770004
27/06/2019,221.289993
28/06/2019,224.589996
01/07/2019,223.360001
02/07/2019,217.070007
03/07/2019,218.270004
05/07/2019,222.899994
08/07/2019,215.169998
09/07/2019,217.740005
10/07/2019,212.639999
11/07/2019,217.070007
12/07/2019,222.25
15/07/2019,218.779999
16/07/2019,217.639999
17/07/2019,215.139999
18/07/2019,217.210007
19/07/2019,219.309998
22/07/2019,219.029999
23/07/2019,218.539993
24/07/2019,226.070007
25/07/2019,224.089996
26/07/2019,233.789993
29/07/2019,228.610001
30/07/2019,230.830002
31/07/2019,231.970001
01/08/2019,218.240005
02/08/2019,215.050003
05/08/2019,205.809998
06/08/2019,207.070007
07/08/2019,197.320007
08/08/2019,205.630005
09/08/2019,199.229996
12/08/2019,194.809998
13/08/2019,198.550003
14/08/2019,190.119995
15/08/2019,185.929993
16/08/2019,191.710007
19/08/2019,195.710007
20/08/2019,192.990005
21/08/2019,194.449997
22/08/2019,195.440002
23/08/2019,187.449997
26/08/2019,187.910004
27/08/2019,184.710007
28/08/2019,187.210007
29/08/2019,193.830002
30/08/2019,194.619995
03/09/2019,190.009995
04/09/2019,192.100006
05/09/2019,199.779999
06/09/2019,201.279999
09/09/2019,211.729996
10/09/2019,218.130005
11/09/2019,222.080002
12/09/2019,217.759995
13/09/2019,224.009995
16/09/2019,221.360001
17/09/2019,213.429993
18/09/2019,217.850006
19/09/2019,216.059998
20/09/2019,216.580002
23/09/2019,215.570007
24/09/2019,207.630005
25/09/2019,214.050003
26/09/2019,206.050003
27/09/2019,206.149994
30/09/2019,208.949997
01/10/2019,198.929993
02/10/2019,195.800003
03/10/2019,195.559998
04/10/2019,197.669998
07/10/2019,197.339996
08/10/2019,188.330002
09/10/2019,190.850006
10/10/2019,192.440002
11/10/2019,202.160004
14/10/2019,199.440002
15/10/2019,206.770004
16/10/2019,205.190002
17/10/2019,204.839996
18/10/2019,204.720001
21/10/2019,210.479996
22/10/2019,210.160004
23/10/2019,210.130005
24/10/2019,207.710007
25/10/2019,219.789993
28/10/2019,227.279999
29/10/2019,229.149994
30/10/2019,226.690002
31/10/2019,221.479996
01/11/2019,230.889999
04/11/2019,237.960007
05/11/2019,239.529999
06/11/2019,231.470001
07/11/2019,239.449997
08/11/2019,238.600006
11/11/2019,237.210007
12/11/2019,238.679993
13/11/2019,234.119995
14/11/2019,232.949997
15/11/2019,234.059998
18/11/2019,229.179993
19/11/2019,229.5
20/11/2019,228.380005
21/11/2019,227.929993
22/11/2019,231.020004
25/11/2019,235.75
26/11/2019,232.960007
27/11/2019,234.869995
29/11/2019,231.729996
02/12/2019,229.789993
03/12/2019,225.270004
04/12/2019,230.149994
05/12/2019,229.399994
06/12/2019,237.410004
09/12/2019,236.360001
10/12/2019,238.630005
11/12/2019,239.419998
12/12/2019,251.210007
13/12/2019,249.309998
16/12/2019,251.220001
17/12/2019,254.210007
18/12/2019,251.75
19/12/2019,250.119995
20/12/2019,250.940002
23/12/2019,252.160004
24/12/2019,252.070007
26/12/2019,253.179993
27/12/2019,250.309998
30/12/2019,249.820007
31/12/2019,251.039993
02/01/2020,254.270004
03/01/2020,250.330002
06/01/2020,249.240005
07/01/2020,250.399994
08/01/2020,252.779999
09/01/2020,256.109985
10/01/2020,251.729996
13/01/2020,253.850006
14/01/2020,253.490005
15/01/2020,250.589996
16/01/2020,252.300003
17/01/2020,258.399994
21/01/2020,254.199997
22/01/2020,256.299988
23/01/2020,259.079987
24/01/2020,252.660004
27/01/2020,243.380005
28/01/2020,251.279999
29/01/2020,246.020004
30/01/2020,248.139999
31/01/2020,240.330002
03/02/2020,244.690002
04/02/2020,254.729996
05/02/2020,262.700012
06/02/2020,262.089996
07/02/2020,257.149994
10/02/2020,256.309998
11/02/2020,263.640015
12/02/2020,265.100006
13/02/2020,265.950012
14/02/2020,265.420013
18/02/2020,261.109985
19/02/2020,266.98999
20/02/2020,270.790009
21/02/2020,261.420013
24/02/2020,243.270004
25/02/2020,232.160004
26/02/2020,224.300003
27/02/2020,211.369995
28/02/2020,208.160004
02/03/2020,216.75
03/03/2020,198.630005
04/03/2020,202.380005
05/03/2020,185.059998
06/03/2020,174.440002
09/03/2020,148.149994
10/03/2020,161.970001
11/03/2020,148.75
12/03/2020,136.960007
13/03/2020,156.669998
16/03/2020,130.979996
17/03/2020,149.369995
18/03/2020,150.509995
19/03/2020,168.169998
20/03/2020,150.639999
23/03/2020,143.210007
24/03/2020,158.369995
25/03/2020,165
26/03/2020,171.529999
27/03/2020,159.339996
30/03/2020,155.779999
31/03/2020,151.080002
01/04/2020,140.009995
02/04/2020,142.949997
03/04/2020,139.339996
06/04/2020,159.320007
07/04/2020,160.100006
08/04/2020,168.580002
09/04/2020,185.690002
13/04/2020,170.410004
14/04/2020,172.059998
15/04/2020,161.889999
16/04/2020,161.360001
17/04/2020,173.690002
20/04/2020,174.669998
21/04/2020,165.490005
22/04/2020,167.5
23/04/2020,171
24/04/2020,184
27/04/2020,192.630005
28/04/2020,193.25
29/04/2020,201.429993
30/04/2020,193.169998
01/05/2020,184.860001
